run,subrun,event
19765,317,15888
19765,317,15893
19765,319,15981
19765,321,16057
19765,321,16082
19765,321,16087
19765,321,16093
19765,321,16098
19765,322,16135
19765,322,16143
19765,323,16167
19765,343,17198
19765,359,17974
19765,359,17975
19766,9,493
19766,9,497
19766,10,527
19766,14,729
19766,17,888
19766,21,1086
19766,22,1131
19766,26,1334
19766,41,2097
19766,49,2485
19766,94,4712
19766,95,4760
19766,115,5798
19766,144,7214
19766,152,7648
19766,159,7971
19766,167,8363
19766,178,8908
19766,211,10595
19766,226,11328
19766,251,12600
19766,259,12998
19766,265,13253
19766,266,13312
19766,269,13455
19766,269,13463
19766,269,13467
19766,278,13916
19766,280,14034
19766,280,14036
19766,301,15098
19766,316,15804
19766,317,15866
19766,317,15875
19766,318,15922
19766,320,16043
19766,322,16119
19766,324,16226
19766,324,16232
19766,324,16233
19766,324,16244
19766,329,16476
19766,329,16484
19766,329,16489
19766,330,16516
19766,331,16556
19766,331,16561
19766,331,16564
19766,331,16566
19766,332,16633
19766,332,16639
19766,333,16694
19766,334,16725
19766,334,16727
19766,335,16756
19766,335,16784
19766,337,16865
19766,337,16880
19766,338,16918
19766,338,16922
19766,339,16963
19766,339,16974
19766,339,16996
19766,340,17018
19766,340,17034
19766,340,17045
19766,341,17051
19766,341,17081
19766,342,17101
19766,342,17105
19766,342,17106
19766,342,17127
19766,342,17134
19766,343,17158
19766,344,17210
19766,344,17218
19766,344,17219
19766,344,17233
19766,345,17257
19766,345,17268
19766,345,17274
19766,346,17347
19766,348,17404
19766,353,17672
19766,353,17689
19766,354,17701
19766,354,17716
19766,355,17773
19766,359,17974
19766,361,18058
19766,361,18084
19766,364,18229
19766,364,18235
19766,365,18254
19766,365,18269
19766,365,18272
19766,365,18289
19766,366,18302
19766,366,18313
19766,367,18395
19766,368,18426
19766,368,18431
19766,368,18432
19766,368,18436
19766,368,18444
19766,371,18580
19766,372,18609
19766,372,18632
19766,373,18662
19766,373,18693
19766,374,18717
19767,0,5
